,OR,P
SAUSA300_0455,0.999996729676319,0.0188247018967882
SAUSA300_0456,0.999997340433502,0.122322912087705
SAUSA300_0499,0.999996730010269,0.018867470679468
SAUSA300_0501,0.999997347249393,0.117050815968175
SAUSA300_1838,0.999997358617227,0.142264087138444
SAUSA300_1841,0.999995581146684,0.0136432839009673
SAUSA300_2016,0.999997347679933,0.117343699822756
SAUSA300_2017,0.999996593839738,0.0210134064712128
SAUSA300_2123,0.999997263806572,0.132138404735568
SAUSA300_2124,0.999996730564927,0.0188376085181753
SAUSA300_0766,0.999349182904689,5.26318110411067e-07
SAUSA300_2015,0.999819612898318,1.59397712884549e-06
SAUSA300_0367,0.999091078829447,2.61433987396669e-09
SAUSA300_0457,0.999573311628706,4.18693246048757e-08
SAUSA300_0497,0.999570113373682,1.05508956777965e-07
SAUSA300_0502,0.999573311628706,4.18693246048757e-08
SAUSA300_0527,0.997373952970375,1.00395387058936e-05
SAUSA300_0528,0.996660362933324,5.6156471582343e-08
SAUSA300_1837,0.99958629191132,4.07785026612325e-08
SAUSA300_2122,0.999595856785361,4.52856202481605e-07
SAUSA300_0379,0.998458786617905,1.20840711291267e-05
SAUSA300_0489,0.995703169921848,6.74191429821294e-05
SAUSA300_0532,0.998241293710077,2.02112386082771e-08
SAUSA300_0533,0.998180187811254,1.01508769103751e-07
SAUSA300_0955,0.996485623809406,5.20282977135804e-09
SAUSA300_0962,0.997210011334079,8.61222818650078e-06
SAUSA300_2037,0.998895673387634,1.92443509558527e-08
SAUSA300_2184,0.99864471313363,3.25046591938659e-06
SAUSA300_2189,0.998437411488515,8.33348577273702e-05
SAUSA300_2201,0.99834326387524,6.41073561459129e-08
SAUSA300_0523,0.998521415531995,2.5944386090885e-05
SAUSA300_0530,0.999295539096366,5.57008105710832e-05
SAUSA300_0758,0.997181819089569,0.131792745089319
SAUSA300_0963,0.998376048757225,0.0641010044688931
SAUSA300_0989,0.996136846043946,1.21485084491882e-05
SAUSA300_0994,0.998004634911751,2.10366652283648e-07
SAUSA300_1134,0.999019777858906,4.23090003517778e-07
SAUSA300_1362,0.999304540938908,1.17007623941892e-05
SAUSA300_1365,0.994859062163144,0.00271100376475433
SAUSA300_1601,0.99838250875954,1.90876313447643e-05
SAUSA300_1621,0.997737274313999,0.0148486506027594
SAUSA300_1779,1.00000854511834,0.979998467986532
SAUSA300_1822,0.999981797065785,0.943829237797239
SAUSA300_1839,0.999642765132994,0.00908305960401318
SAUSA300_2178,0.997736623976171,2.28735511598811e-05
SAUSA300_2197,0.998797892858977,0.000525775758098696
SAUSA300_2198,0.997512943170877,9.01844651062836e-09
SAUSA300_2202,0.999120317343111,4.89909159222314e-08
SAUSA300_2203,0.999011959591952,3.57924562013558e-06
SAUSA300_2407,0.99925638187787,0.0120679373970202
SAUSA300_2411,0.993664892610534,3.21895113906605e-06
SAUSA300_2565,0.996083410136266,2.78722257036012e-07
SAUSA300_0005,0.990775756424516,0.00025074853046468
SAUSA300_0022,0.992704365946389,0.140114969664596
SAUSA300_0181,0.991781985184849,0.331043331909012
SAUSA300_0221,0.997999861591971,0.0365506680727747
SAUSA300_0368,0.996637437358675,1.73289512535841e-06
SAUSA300_0479,0.998304054100964,6.37880629103707e-07
SAUSA300_0529,0.999282181243927,0.00134213209851562
SAUSA300_0619,0.998246030944731,6.08377805838107e-07
SAUSA300_0705,0.981263186942173,0.000178711055999626
SAUSA300_0716,0.99846294669159,6.40956770075216e-09
SAUSA300_0759,0.994499911981929,0.000291449922770417
SAUSA300_0760,0.996974962342872,3.13306160966286e-05
